Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
A: Perdón por llegar tarde. B: Tranqui no hay lío.,A: Sorry for being late. B: No worries no problem.,[sound:A_Perdón_por_llegar_tarde_B_Tranqui_no_h_9e024a5c.mp3],soften/decline,Todo bien,,basic,pair essential,1
A: ¿Cómo estás? B: Bien ¿y tú?,A: How are you? B: Good and you?,[sound:A_Cómo_estás_B_Bien_y_tú_23a11002.mp3],informal/intimate,,,basic,pair essential greeting,1
A: ¿Me prestas plata? B: No tengo perdón.,A: Can you lend me money? B: I don't have any sorry.,[sound:A_Me_prestas_plata_B_No_tengo_perdón_94c8ca44.mp3],Adjacency pair: request→refuse,,,basic,pair essential,1
A: ¿Me prestas tu cargador? B: Claro toma.,A: Can I borrow your charger? B: Sure here.,[sound:A_Me_prestas_tu_cargador_B_Claro_toma_6d318ff2.mp3],Adjacency pair: request→grant,,,basic,pair essential,1
A: ¿Quieres que pida el Uber? B: De una.,A: Want me to order the Uber? B: For sure.,[sound:A_Quieres_que_pida_el_Uber_B_De_una_5324ac4a.mp3],immediate yes,Listo,,basic,pair essential,1
A: ¿Quieres que pida el Uber? B: Tranqui yo pido.,A: Want me to order the Uber? B: It's ok I'll order.,[sound:A_Quieres_que_pida_el_Uber_B_Tranqui_yo__97e70fbd.mp3],soften/decline,Todo bien,,basic,pair essential,1
A: ¿Te queda bien a las siete? B: Me sirve.,A: Does seven work for you? B: That works for me.,[sound:A_Te_queda_bien_a_las_siete_B_Me_sirve_086592d6.mp3],scheduling accept,¿Te sirve,,basic,pair essential,1
A: ¿Todo bien? B: Todo bien.,A: Everything good? B: All good.,[sound:A_Todo_bien_B_Todo_bien_3eb7c758.mp3],Adjacency pair: check-in,Tranqui,,basic,pair essential,1
A: ¿Vamos? B: Dale pues.,A: Shall we go? B: Let's do it.,[sound:A_Vamos_B_Dale_pues_a918d425.mp3],Adjacency pair: invite→accept,¿Te animas a,,basic,pair essential,1
A: ¿Vamos? B: Mejor otro día.,A: Shall we go? B: Better another day.,[sound:A_Vamos_B_Mejor_otro_día_60b5c64e.mp3],Adjacency pair: invite→decline,¿Te animas a,,basic,pair essential,1
Acabamos de hablar.,We just talked.,[sound:Acabamos_de_hablar_5affb14e.mp3],,,,basic,pattern frame,1
Acabo de comer.,I just ate.,[sound:Acabo_de_comer_483993e2.mp3],,,,basic,pattern frame,1
Acabo de llegar,I just arrived,[sound:Acabo_de_llegar_5db5f04d.mp3],,'Acabar de' + infinitive | Recent past,,basic,pattern,1
Acabo de ver tu mensaje.,I just saw your message.,[sound:Acabo_de_ver_tu_mensaje_97619331.mp3],,,,basic,pattern frame,1
Acabo de {{llegar}}.,I just {{arrived}}.,[sound:Acabo_de_llegar_ac13e13e.mp3],Frame: Acabar de + infinitive,,,basic,pattern essential frame,1
Ahorita te escribo,I'll text you right now,[sound:Ahorita_te_escribo_eae0a248.mp3],I'll text you,,,basic,pattern,1
Alargué mi viaje un día más me voy el vi,I'm going...,[sound:Alargué_mi_viaje_un_día_más_me_voy_el_vi_b2d3ed4e.mp3],,,,basic,verb,1
Apenas pueda.,As soon as I can.,[sound:Apenas_pueda_2e0ef551.mp3],as soon as,,,basic,pattern frame,1
Apenas sepa te aviso.,As soon as I know I'll let you know.,[sound:Apenas_sepa_te_aviso_6583f236.mp3],as soon as,,,basic,pattern frame,1
Apenas tenga tiempo.,As soon as I have time.,[sound:Apenas_tenga_tiempo_d58dc93e.mp3],as soon as,,,basic,pattern frame,1
Apenas {{llegue}} te llamo.,As soon as I {{arrive}} I'll call you.,[sound:Apenas_llegue_te_llamo_07cde65f.mp3],I'll call you,,,basic,pattern essential frame,1
Buenas noches preciosa cómo estuvo tu dí,"Good night beautiful, how was your day?",[sound:Buenas_noches_preciosa_cómo_estuvo_tu_dí_d415482d.mp3],,,,basic,greeting,1
Bueno me voy entonces,"Well, I'm leaving then",[sound:Bueno_me_voy_entonces_099aece5.mp3],,,,basic,verb,1
Buenos días mi amor cómo amaneciste,"Good morning my love, how did you wake up?",[sound:Buenos_días_mi_amor_cómo_amaneciste_e5ee2919.mp3],,,,basic,greeting,1
Buenos días preciosa Dormiste bien,"Good morning beautiful, did you sleep well?",[sound:Buenos_días_preciosa_Dormiste_bien_dc76ee2c.mp3],,,,basic,greeting,1
Catorce,fourteen,[sound:Catorce_338e086f.mp3],,,,basic,number,1
Cero,zero,[sound:Cero_95e0249f.mp3],,,,basic,number,1
Cinco,five,[sound:Cinco_811c9fdf.mp3],,,,basic,number,1
Como {{tú}} digas.,As {{you}} say.,[sound:Como_tú_digas_ca723775.mp3],informal/intimate,,,basic,response essential,1
Como {{usted}} diga.,As {{you}} say.,[sound:Como_usted_diga_e97d949b.mp3],formal/affectionate,,,basic,response formal,1
Con solo mirarte se me olvida hasta mi n,I (accidentally)...,[sound:Con_solo_mirarte_se_me_olvida_hasta_mi_n_66b98080.mp3],,,,basic,pattern,1
Cuando {{llegues}} me avisas.,When {{you arrive}} let me know.,[sound:Cuando_llegues_me_avisas_8d9feec8.mp3],let me know,,,basic,subjunctive essential,1
Cuatro,four,[sound:Cuatro_b32d952e.mp3],,,,basic,number,1
Dame{{lo}}.,Give {{it}} to me.,[sound:Damelo_edce018b.mp3],Lo attached to command,,,basic,pronoun essential,1
De pronto más tarde.,Maybe later.,[sound:De_pronto_más_tarde_606e33d8.mp3],maybe/soften,,,basic,pattern colombian,1
De pronto no puedo.,I might not be able to.,[sound:De_pronto_no_puedo_efab4911.mp3],maybe/soften,,,basic,pattern colombian,1
De pronto sí.,Maybe yes.,[sound:De_pronto_sí_eb1bca1b.mp3],maybe/soften,,,basic,pattern colombian,1
De pronto {{llueve}}.,It might {{rain}}.,[sound:De_pronto_llueve_bf4d8540.mp3],maybe/soften,,,basic,pattern essential colombian,1
Descansa yo estoy aquí para ti,"Rest, I'm here for you",[sound:Descansa_yo_estoy_aquí_para_ti_b6ea3916.mp3],,Acá,,basic,verb,1
Diez,ten,[sound:Diez_75ceab60.mp3],,,,basic,number,1
Diga{{me}}.,Tell {{me}}.,[sound:Digame_06d072a4.mp3],Me attached to command,,,basic,pronoun essential,1
Doce,twelve,[sound:Doce_3fa92ff6.mp3],,,,basic,number,1
Dos,two,[sound:Dos_edd44d59.mp3],,,,basic,number,1
Eres como Cartagena hermosa y me quiero ,[I want...],[sound:Eres_como_Cartagena_hermosa_y_me_quiero__9491ebdd.mp3],,,,basic,verb,1
